iter,jfin,j,var,type,p,cuts,groups
2,1,2,PEMLR,cat,3,"[3, 0, 3, 0, 3, 2, 3, 0]","{0: {1, 3, 7}, 1: set(), 2: {5}, 3: {0, 2, 4, 6}}"
2,2,3,SS_YN,cat,2,"[2, 1, 0]","{0: {2}, 1: {1}, 2: {0}}"
3,1,2,PEMLR,cat,3,"[3, 0, 3, 0, 3, 2, 3, 0]","{0: {1, 3, 7}, 1: set(), 2: {5}, 3: {0, 2, 4, 6}}"
3,2,3,SS_YN,cat,2,"[2, 1, 0]","{0: {2}, 1: {1}, 2: {0}}"
4,1,2,PEMLR,cat,3,"[3, 0, 3, 0, 3, 2, 3, 0]","{0: {1, 3, 7}, 1: set(), 2: {5}, 3: {0, 2, 4, 6}}"
4,2,3,SS_YN,cat,2,"[2, 1, 0]","{0: {2}, 1: {1}, 2: {0}}"
5,1,2,PEMLR,cat,3,"[3, 0, 3, 0, 3, 2, 3, 0]","{0: {1, 3, 7}, 1: set(), 2: {5}, 3: {0, 2, 4, 6}}"
5,2,3,SS_YN,cat,2,"[2, 1, 0]","{0: {2}, 1: {1}, 2: {0}}"
6,1,2,PEMLR,cat,3,"[3, 0, 1, 0, 3, 2, 3, 0]","{0: {1, 3, 7}, 1: {2}, 2: {5}, 3: {0, 4, 6}}"
6,2,3,SS_YN,cat,2,"[2, 1, 0]","{0: {2}, 1: {1}, 2: {0}}"
7,1,2,PEMLR,cat,3,"[2, 0, 0, 2, 0, 3, 2, 2]","{0: {1, 2, 4}, 1: set(), 2: {0, 3, 6, 7}, 3: {5}}"
7,2,3,SS_YN,cat,2,"[1, 2, 1]","{0: set(), 1: {0, 2}, 2: {1}}"
8,1,2,PEMLR,cat,3,"[2, 1, 0, 2, 2, 3, 1, 2]","{0: {2}, 1: {1, 6}, 2: {0, 3, 4, 7}, 3: {5}}"
8,2,3,SS_YN,cat,2,"[2, 2, 0]","{0: {2}, 1: set(), 2: {0, 1}}"
9,1,2,PEMLR,cat,3,"[2, 1, 0, 2, 2, 3, 2, 2]","{0: {2}, 1: {1}, 2: {0, 3, 4, 6, 7}, 3: {5}}"
9,2,3,SS_YN,cat,2,"[2, 2, 0]","{0: {2}, 1: set(), 2: {0, 1}}"
10,1,1,A_AGE,cont,3,"[24.01, 40.99, 65.99]","{0: '(-inf, 24.02)', 1: '(24.01, 41.00)', 2: '(40.99, 65.99)', 3: '(65.98, inf)'}"
10,2,2,PEMLR,cat,3,"[3, 1, 0, 3, 2, 2, 3, 1]","{0: {2}, 1: {1, 7}, 2: {4, 5}, 3: {0, 3, 6}}"
11,1,1,A_AGE,cont,3,"[24.01, 40.99, 64.99]","{0: '(-inf, 24.02)', 1: '(24.01, 41.00)', 2: '(40.99, 64.99)', 3: '(64.98, inf)'}"
11,2,2,PEMLR,cat,3,"[3, 1, 0, 3, 2, 2, 3, 1]","{0: {2}, 1: {1, 7}, 2: {4, 5}, 3: {0, 3, 6}}"
12,1,1,A_AGE,cont,3,"[24.99, 40.01, 64.01]","{0: '(-inf, 24.99)', 1: '(24.98, 40.01)', 2: '(40.00, 64.02)', 3: '(64.01, inf)'}"
12,2,2,PEMLR,cat,3,"[3, 1, 0, 3, 2, 2, 3, 2]","{0: {2}, 1: {1}, 2: {4, 5, 7}, 3: {0, 3, 6}}"
13,1,1,A_AGE,cont,3,"[24.99, 55.99, 64.99]","{0: '(-inf, 24.99)', 1: '(24.98, 56.00)', 2: '(55.99, 64.99)', 3: '(64.98, inf)'}"
13,2,2,PEMLR,cat,3,"[3, 1, 0, 2, 2, 2, 3, 2]","{0: {2}, 1: {1}, 2: {3, 4, 5, 7}, 3: {0, 6}}"
14,1,1,A_AGE,cont,3,"[24.01, 55.99, 64.99]","{0: '(-inf, 24.02)', 1: '(24.01, 56.00)', 2: '(55.99, 64.99)', 3: '(64.98, inf)'}"
14,2,2,PEMLR,cat,3,"[3, 1, 0, 2, 2, 2, 3, 2]","{0: {2}, 1: {1}, 2: {3, 4, 5, 7}, 3: {0, 6}}"
15,1,1,A_AGE,cont,3,"[24.01, 55.99, 64.99]","{0: '(-inf, 24.02)', 1: '(24.01, 56.00)', 2: '(55.99, 64.99)', 3: '(64.98, inf)'}"
15,2,2,PEMLR,cat,3,"[3, 1, 0, 2, 2, 2, 3, 2]","{0: {2}, 1: {1}, 2: {3, 4, 5, 7}, 3: {0, 6}}"
